date,count
2016-05-29,349871
2016-05-30,633968
2016-05-31,705071
2016-06-01,697287
2016-06-02,0
2016-06-03,670050
2016-06-04,359138
2016-06-05,352299
2016-06-06,619272
2016-06-07,736662
2016-06-08,687934
2016-06-09,645074
2016-06-10,578687
2016-06-11,287803
2016-06-12,0
2016-06-13,667205
2016-06-14,657762
2016-06-15,642855
2016-06-16,605530
2016-06-17,597733
2016-06-18,292044
2016-06-19,308316
2016-06-20,613572
2016-06-21,646851
2016-06-22,710209
2016-06-23,745711
2016-06-24,562728
2016-06-25,342220
2016-06-26,337341
2016-06-27,646755
2016-06-28,692473
2016-06-29,640921
2016-06-30,598119
2016-07-01,533529
2016-07-02,277906
2016-07-03,299780
2016-07-04,548871
2016-07-05,671219
2016-07-06,593917
2016-07-07,651940
2016-07-08,617704
2016-07-09,343867
2016-07-10,357428
2016-07-11,651291
2016-07-12,0
2016-07-13,584586
2016-07-14,574226
2016-07-15,566969
2016-07-16,289625
2016-07-17,305231
2016-07-18,668013
2016-07-19,701878
2016-07-20,679313
2016-07-21,626536
2016-07-22,538869
2016-07-23,277293
2016-07-24,0
2016-07-25,619711
2016-07-26,671071
2016-07-27,602183
2016-07-28,677969
2016-07-29,568872
2016-07-30,372117
2016-07-31,287158
2016-08-01,563653
2016-08-02,674411
2016-08-03,636601
2016-08-04,0
2016-08-05,536322
2016-08-06,315167
2016-08-07,299068
2016-08-08,633353
2016-08-09,626196
2016-08-10,610536
2016-08-11,0
2016-08-12,554126
2016-08-13,0
2016-08-14,0
2016-08-15,534515
2016-08-16,632658
2016-08-17,621417
2016-08-18,594539
2016-08-19,569649
2016-08-20,0
2016-08-21,327395
2016-08-22,634692
2016-08-23,673811
2016-08-24,665690
2016-08-25,735926
2016-08-26,629793
2016-08-27,330078
2016-08-28,339007
2016-08-29,684004
2016-08-30,744962
2016-08-31,758646
2016-09-01,767401
2016-09-02,0
2016-09-03,330689
2016-09-04,341170
2016-09-05,632999
2016-09-06,817664
2016-09-07,944234
2016-09-08,833356
2016-09-09,0
2016-09-10,420604
2016-09-11,389398
2016-09-12,871116
2016-09-13,889252
2016-09-14,876974
2016-09-15,841793
2016-09-16,741416
2016-09-17,381619
2016-09-18,384324
2016-09-19,817173
2016-09-20,924016
2016-09-21,879164
2016-09-22,869365
2016-09-23,731676
2016-09-24,418636
2016-09-25,413712
2016-09-26,801936
2016-09-27,939626
2016-09-28,870190
2016-09-29,908768
2016-09-30,740057
2016-10-01,375256
2016-10-02,425422
2016-10-03,820709
2016-10-04,926002
2016-10-05,911898
2016-10-06,921291
2016-10-07,797105
2016-10-08,416061
2016-10-09,442552
2016-10-10,829775
2016-10-11,913699
2016-10-12,961462
2016-10-13,910085
2016-10-14,807971
2016-10-15,461645
2016-10-16,448087
2016-10-17,961002
2016-10-18,959699
2016-10-19,954686
2016-10-20,915994
2016-10-21,973902
2016-10-22,452600
2016-10-23,461756
2016-10-24,1001311
2016-10-25,973755
2016-10-26,910183
2016-10-27,884575
2016-10-28,731052
2016-10-29,385723
2016-10-30,471322
2016-10-31,853312
2016-11-01,960608
2016-11-02,1136597
2016-11-03,1146118
2016-11-04,1020379
2016-11-05,570332
2016-11-06,534825
2016-11-07,1062116
2016-11-08,1089388
2016-11-09,985311
2016-11-10,1139728
2016-11-11,857887
2016-11-12,530923
2016-11-13,535710
2016-11-14,1152311
2016-11-15,1191973
2016-11-16,1124721
2016-11-17,1129521
2016-11-18,977271
2016-11-19,550413
2016-11-20,604516
2016-11-21,1075848
2016-11-22,1103355
2016-11-23,991534
2016-11-24,849755
2016-11-25,765010
2016-11-26,512457
2016-11-27,548431
2016-11-28,1058973
2016-11-29,1245145
2016-11-30,1187e3
2016-12-01,1145397
2016-12-02,974960
2016-12-03,539294
2016-12-04,606890
2016-12-05,1110691
2016-12-06,1097064
2016-12-07,1054718
2016-12-08,987561
2016-12-09,893369
2016-12-10,526723
2016-12-11,493667
2016-12-12,933219
2016-12-13,945003
2016-12-14,935530
2016-12-15,897723
2016-12-16,806685
2016-12-17,445198
2016-12-18,443167
2016-12-19,808233
2016-12-20,804777
2016-12-21,844643
2016-12-22,697280
2016-12-23,525723
2016-12-24,333182
2016-12-25,268094
2016-12-26,379466
2016-12-27,490813
2016-12-28,605182
2016-12-29,544969
2016-12-30,437425
2016-12-31,275984
2017-01-01,244440
2017-01-02,493666
2017-01-03,833431
2017-01-04,884483
2017-01-05,841352
2017-01-06,733554
2017-01-07,427845
2017-01-08,441904
2017-01-09,925537
2017-01-10,1045995
2017-01-11,1164754
2017-01-12,0
2017-01-13,967532
2017-01-14,474228
2017-01-15,491819
2017-01-16,938450
2017-01-17,1160986
2017-01-18,1206642
2017-01-19,1188584
2017-01-20,1105376
2017-01-21,573507
2017-01-22,560257
2017-01-23,1161919
2017-01-24,1202123
2017-01-25,1285387
2017-01-26,1139183
2017-01-27,1031060
2017-01-28,494352
2017-01-29,523783
2017-01-30,1104937
2017-01-31,1186653
2017-02-01,1205129
2017-02-02,1139361
2017-02-03,1106105
2017-02-04,570183
2017-02-05,571141
2017-02-06,1129596
2017-02-07,1253377
2017-02-08,1236726
2017-02-09,1292378
2017-02-10,1080733
2017-02-11,591641
2017-02-12,562197
2017-02-13,1155034
2017-02-14,1226434
2017-02-15,1338242
2017-02-16,1265083
2017-02-17,1168006
2017-02-18,586710
2017-02-19,628268
2017-02-20,1073278
2017-02-21,1355861
2017-02-22,1248526
2017-02-23,1201384
2017-02-24,1089370
2017-02-25,597183
2017-02-26,670459
2017-02-27,1192526
2017-02-28,1074113
2017-03-01,721959
2017-03-02,1273853
2017-03-03,1091335
2017-03-04,594932
2017-03-05,592394
2017-03-06,1160498
2017-03-07,1217918
2017-03-08,1303740
2017-03-09,1225204
2017-03-10,1117882
2017-03-11,655598
2017-03-12,597545
2017-03-13,1217594
2017-03-14,1238552
2017-03-15,1219101
2017-03-16,1214081
2017-03-17,1060539
2017-03-18,579798
2017-03-19,604903
2017-03-20,1227987
2017-03-21,1327198
2017-03-22,1292555
2017-03-23,1247352
2017-03-24,1202717
2017-03-25,595127
2017-03-26,617393
2017-03-27,1412351
2017-03-28,1314232
2017-03-29,1298220
2017-03-30,1258241
2017-03-31,1041649
2017-04-01,607212
2017-04-02,594872
2017-04-03,1305394
2017-04-04,1737760
2017-04-05,1536341
2017-04-06,1404785
2017-04-07,1201772
2017-04-08,706011
2017-04-09,642991
2017-04-10,1234512
2017-04-11,1286674
2017-04-12,1304690
2017-04-13,1296232
2017-04-14,938469
2017-04-15,611976
2017-04-16,534246
2017-04-17,980219
2017-04-18,1270558
2017-04-19,1288041
2017-04-20,1293359
2017-04-21,1159581
2017-04-22,715751
2017-04-23,677275
2017-04-24,1421511
2017-04-25,1572509
2017-04-26,1507508
2017-04-27,1410889
2017-04-28,1103992
2017-04-29,673131
2017-04-30,579433
2017-05-01,948110
2017-05-02,1291063
